"","locality","lat_deg","lat_min","lat_sec","lat_sph","lon_deg","lon_min","lon_sec","lon_sph","locality2","locality4","dec_lat","dec_lon","locality3","colfloc"
"2","Funen, Bogense,",55,36,28.01,"N",10,2,44.35,"E","FB","Funen, Bogense,",55.6077805555556,10.0456527777778,"FynBogense,","#000000"
"3","Funen, Kerteminde",55,27,0.94,"N",10,44,47.59,"E","FK","Funen, Kerteminde",55.4502611111111,10.7465527777778,"FynKerteminde","#6A15A0"
"7","Jutland, Mariager Fjord",56,42,53.55,"N",10,24,23.27,"E","JMF","Jutland, Mariager Fjord",56.714875,10.4064638888889,"JyllandMariagerfjord","#6A15F5"
"8","Germany, Kiel Fjord",54,28,19.22,"N",10,15,37.01,"E","NGKF","Germany, Kiel Fjord",54.4720055555556,10.2602805555556,"NGermanyKielFjord","#0000FF"
"9","Germany, Wismar Bight",53,57,1.44,"N",11,20,35.16,"E","NGMB","Germany, Wismar Bight",53.9504,11.3431,"NGermanyMecklenburgerBuchtWismarBucht","#00A955"
"10","Jutland, Limfjord",56,58,29.87,"N",9,12,46.65,"E","NJLIMF","Jutland, Limfjord",56.9749638888889,9.21295833333333,"NJyllandLimfjord","#33EE10"
"12","North Sea, Helgoland Roads",54,11,52.52,"N",7,53,28.41,"E","HELGO","North Sea, Helgoland Roads",54.1979222222222,7.891225,"NWGermanyNSeaHelgolandRds","#9ACD32"
"13","Germany, Büsum",54,8,5.1,"N",8,50,25.66,"E","WADSEA","Germany, Büsum",54.13475,8.84046111111111,"NWGermanyWaddenSeaBussumHaupstr","#DDEE10"
"14","Samsøe, Ballen",55,49,0.47,"N",10,39,8.93,"E","KATG","Samsøe, Ballen",55.8167972222222,10.6524805555556,"SamsoeBallen","#FFFF55"
"16","Sealand, Skovshoved",55,45,40.55,"N",12,36,44.94,"E","OERES","Sealand, Skovshoved",55.7612638888889,12.6124833333333,"SjaellandSkovshoved","#FFFFFF"
